Reviews,Comments
4.5 of 5 bubbles,Stopped in for a late afternoon lunch. My buddy recommended it.  Started with a Thai version of chicken on a stick.  Very tasty.  Then onward to the mains.  Excellent.  Spicy and hot but not over the top.  Portion size was good.  My buddy had a...More
4.5 of 5 bubbles,"Instead of going for the full tasting menu we came here to enjoy their dessert only tasting menu. Understandably, this is served in the bar rather than in the main dining area. Despite this, the service - of both the food and wine - was...More"
4.5 of 5 bubbles,"Finally found a great Thai restaurant in Puyallup. Food is freshly prepared. Service is very good. Iâ€™ve also ordered take-out. Highly recommend it,"
4.5 of 5 bubbles,Wonderful warm and tasty food after a long day! Fast and nice service! A choice of Vietnamese and Chinese food!
4.5 of 5 bubbles,"In September, 2019, I had lunch at the Tipsy Cow with colleagues, following a work meeting. Not being in the mood for a standard burger, I had the ""Big Eye"" burger, which is listed as ""Wasabi Pea Crusted Ahi Tuna Seared Rare, Micro Basil, Purple...More"
4 of 5 bubbles,Delicious dinner with 8 family members.  Everyone loved their food.  From the bread on the table to appetizers to dinner to dessert.  So yummy.  Met Mathew he was so nice and gave us the history of the place.  We will definitely be back.
4.5 of 5 bubbles,"Took a moment to find but when we did, we were very pleased with everything.  Excellent service, excellent food (we're a 2 out of 3 vegan family) and the choices were great.  Our server was wonderful and the owner came by twice - once to...More"
4.5 of 5 bubbles,"We took the family out for a late dinner. This restaurant keeps improving on itself every time we dine here.
The service, food and drinks were well above the norm for dining in Dutchess county.
Bravo to the whole staff and management.
It was so...More"
4 of 5 bubbles,"we returned to the Crow's Next with a group of 30 people after a funeral.
We had soup, pasta, entree, dessert, and beverage.  All were served in a
timely manner and were very good.  I chose the Talapia as my main course
and it was...More"
4 of 5 bubbles,"Great service...both had fried catfish plates. Fish crispy. The sides were all good except the fried green tomatoes.  Those were gross.  
Nice little place off the interstate."
4 of 5 bubbles,
4 of 5 bubbles,
4.5 of 5 bubbles,"Service, ambiance, available wine and drinks are all outstanding. The two steaks we had (bone in ribeye, porterhouse) were good, but not outstanding. We had eaten at Town Hearth a few weeks before, and both of us preferred our steak from there. I've also had...More"
4.5 of 5 bubbles,A nice selection of pizzas are available.  The server was friendly and helpful.  We wanted to try several different types so we ordered slices instead of a whole pizza.  The food came out quickly and was heated through.  The restaurant was clean and inviting.
4.5 of 5 bubbles,Our server was nice but that was the only good part of our experience. We ordered â€œThe Burnt Endsâ€ as the menu highlights them as a House Specialty. They arrived much to our dismay small squares of cut up brisket that were extremely dry even...More
4 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,Wow one the best burgers in the world with a variety of food to chose from the menu plus the shakes are to die for.
4.5 of 5 bubbles,Angeloâ€™s (not connected to Angeloâ€™s in Burien and Bellvue) is a â€œmom and popâ€ store with excellent food and service. The head pizza maker is owner Tom whose wife Lisa runs the front of the house. The second time you go there she will remember...More
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,"The wine list is pretty good but food is average, at least it was what I ordered (pork chops). Personnel was friendly but I found this place overpriced (48 $ including tip for a main course and a glass of wine). Portions are good and...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"My son and I recently visited the heights for lunch. We ordered a cup of tomato, chipotle soup each. It was excellent with surprising flavors in every spoonful. We are both celiacs and found the staff very amenable to alter any dish to accommodate us....More"
4.5 of 5 bubbles,"The food was below average- large portions, quick service but the quality was poor.  The food looked and tasted like it had been made hours earlier.  It was tired looking- sloppy presentation and bland."
4 of 5 bubbles,Cery good Vietnamese food with affordable prices. New York in a pocket . I will be back very soo. Thank you!
4.5 of 5 bubbles,"Everything is good. The food, the ambiance, the service and the location. The burrata and the octopus are specially good."
4.5 of 5 bubbles,"Not only does the view make this place but the food is amazing. Our server,, was very informative about the menu and had excellent recommendations.  As for drinks, she said the Hurricane and Iced Tea were her favs so we ordered one of each of...More"
4 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Went here recently with my wife for dinner. She got the combination dinner plate and I go the stuffed cabbage. The food was excellent.  But I should have gotten the conbination dinner like my wife had. Her dinner included 2 stuffed cabbage, perrogri , and...More"
4.5 of 5 bubbles,Stayed at the Sheridan and stop the cross the street to get a quick bite. Wife had brisket and grilled cheese sandwich and I had some double burger that was like a Big Mac but much better. Good selection of craft beers and food was...More
4.5 of 5 bubbles,"Ithaca has a lot of competition when it comes to restaurants, especially, in the downtown area including the commons and restaurant row. So, people have to put out a quality product and dining experience to make things go. Our first experience at Red's Place was...More"
4 of 5 bubbles,"My husband and I have been here several times and always enjoy it. However, the diner was just really unclean today and off putting. The food and service were great as usual, but the tables and menus were really greasy. The floors and the bathrooms...More"
4 of 5 bubbles,What a beautiful and great returant.They have great drinks on happy hour and delicious snacks. The place is very well decorated.
4.5 of 5 bubbles,"I have been coming here since 2011 (I think...or at least a good few years). 

Always super fresh and delicious, guaranteed a good evening and would not hesitate to recommend"
4.5 of 5 bubbles,"Its a good, fun place to eat. Rather plain, but good food. Interesting looking place. They have live music on the weekend."
4 of 5 bubbles,"OMG the worst service ever. I have ordered from this restaurant 4 times.
EACH and EVERY time they have forgotten an item from the order. It's ridiculous. How hard is it to take an order, cook and pack? NO flow, no organization. No one knows...More"
4.5 of 5 bubbles,"Arleneâ€™s is an unpretentious restaurant that serves outstanding breakfasts. Itâ€™s busy during the season, but moves quickly. It is open off season. The portions are generous and the prices are very reasonable.  The service was very friendly and efficient. The blueberry pancakes were perfect. Light...More"
4.5 of 5 bubbles,"Personally made a reservation for dinner last night, got there on time, to find out that the reservation I called in was not recorded.  Front desk handled it with finesse, asking us to enjoy waiting in the bar area which is extremely lively on a...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,We went in and had a great meal I had the homemade pizza and my husband had nachos everything was very good. We had a fantastic waiter he was super easy to work with and on the ball. He was even telling us about the...More
4.5 of 5 bubbles,"Good service, satisfying food. Space is cramped, but they serve good value for money. Itâ€™s amusing to watch the chefs preparing the meals too. Not the best choice if youâ€™re coming as a big groupâ€”itâ€™ll be hard to converse with each other as only bar...More"
4.5 of 5 bubbles,"Never disappointed, always delicious. Just sad the lobster tail and steak special as well as the ribs and steak special went away!"
4 of 5 bubbles,Stopped here on the drive back home from Niagara. They had an excellent brunch menu and so happy they had vegan options.
4.5 of 5 bubbles,"Great food , great service , great waiter ! Our waiter was great he new exactly what we needed and kept our drinks coming . Great experience I hadnâ€™t been there in a long time ."
4.5 of 5 bubbles,"The Whistle Stop is a quaint little restaurant bar in the middle of downtown Renton. I've only been in town less than a year and have been exploring this area recently.

Parking on the street but plenty of room inside. Fairly large selection of food...More"
4 of 5 bubbles,
4 of 5 bubbles,"The hummus and hot mixed appetizer were delicious and the salmon kabob was very good, friendly service and excellent value."
4.5 of 5 bubbles,"My first time here but won't be my last! Food was wonderful as was the service (ask for Zach on your next trip here!) was exceptional. Busy place, not huge so unless you're early (or lucky) may be a wait, but it will be worth...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,Excellent and well prepared cuisine using quality ingredients. Best marinara around. Great specials and pizzas are fabulous. Highly recommend reservation if you want a table.
4.5 of 5 bubbles,Wonderful Sunday Brunch. The Food was delicious and great service. Great atmosphere with French flair.
4.5 of 5 bubbles,"Jimmy Mac's has a great family atmosphere, great for business lunches, or a friendly gathering place, and a great experience. The food is tasty, satisfying, and of good value. You even get a freebe: all the free peanuts you can eat. You don't have to...More"
4 of 5 bubbles,"Good food, good service on a Sunday morning before any crowd. Breakfast items were hot, biscuits soft, good enough tasting. Will be back."
4 of 5 bubbles,
4.5 of 5 bubbles,We got steak and lobster with a side of potatoes au gratin and fire roasted corn. Was the best meal I have ever had! very good service. The drinks were great too! (Long Island iced tea and Moscow mules) the server even made recommendations for...More
4.5 of 5 bubbles,"Excellent menu, servir and list of wines. The meal, amazing.  One downside, the ambient was too cold."
4.5 of 5 bubbles,"(Daughter)I ordered a mocktail (I'm not old enough to drink alcohol) while having dinner with my family. We are trying to go zero waste, so when the it came out and there was a straw in it, I got really upset. But as I was...More"
4 of 5 bubbles,
4.5 of 5 bubbles,"Let me start off by saying that I only sit down to review a restaurant for one of two reasons: excellent service or horrible service. This time it was for excellent service! We were in Amarillo for the first time ever, and this restaurant had...More"
4 of 5 bubbles,Walked over from our hotel for a quick lunch. Extensive menu outside of pizza. We all got pizza. Fresh ingredients and really great pizza. Service was great.
4 of 5 bubbles,"We've eaten here a few times and gotten take out numerous times over the years.  We've never been disappointed.  Occasionally we will order something different but 4 out of 5 times we both order the Mango curry dishes.  For me, chicken or pork and for...More"
4.5 of 5 bubbles,"Stopped here on our way down to the shore. Great food! Perfect poached eggs and the best potatoes around! Clean, excellent service, and right off the highway. Much better stop than the run of the mill rest stop!"
4.5 of 5 bubbles,My daughter wanted to go here for her birthday. It had been a very long time since our last visit so we made the resevation. Honestly there's nothing not to like. The service was superb and the food amazing. My daughter and her fiance enjoyed...More
4.5 of 5 bubbles,"The food here just frankly is over prepared.  If I want to use salt I'll put it on myself.  I love Irish pubs, but between the service being substandard and an odd situation with a gift card we won't be back and we were bribed...More"
4.5 of 5 bubbles,"We stopped in on a busy night and were lucky enough to get seated just before it got crowded. The food was very good and the server was pleasant, however it took a long time to get our food. I would try it again to...More"
4.5 of 5 bubbles,
5 of 5 bubbles,"The building was lovely with plenty of wood trim, stained glass and a huge fireplace. Our group of gals were seated at a lovely round table. I was surprised by the service, she seemed overwhelmed. We had to remind her of a few items that...More"
3.5 of 5 bubbles,"My wife and I ate hear before a Sheas performance. We ordered a number of sides, maybe that was our mistake. We ordered cornbread, hush puppies, collard greens, biscuits and burnt ends. There wasnâ€™t anything that I would want to order again."
4.5 of 5 bubbles,Everything was just the way we wanted it. Room could be turned down a bit more during the warmer days.
4.5 of 5 bubbles,"Top-notch food, best-in-class cocktails, and a really delightful staff!  Ashley & Maddie were simply wonderful and the owners are just so welcoming!  Definitely a spot to which Iâ€™ll return!"
4 of 5 bubbles,"This was my second visit to this Saltgrass and this location continues to have great service and really good food. The steak was prepared exactly as ordered, the salad was cold, crisp & fresh and everything came out quickly. The waitress was great, super pleasant...More"
4 of 5 bubbles,"On 01/16/20, I called the Tacoma RAM & spoke with Ben, a manager, to inform him that I'd Authorized a charge of $80 to my VISA; but the actual charge to my VISA was $84.76, which is $4.76 over what I wrote on the receipt....More"
4 of 5 bubbles,This was truly the worst meal we've ever eaten (4 of us dined this evening). We stopped for a slice of pizza on the way home so that we could have something edible. Cauliflower ice cream? Are you serious? Each dish that came made us...More
4.5 of 5 bubbles,
4.5 of 5 bubbles,"In a city with thousands of places to eat, few are worth the trouble and cost of eating out. Even in NYC, having a great dining experience is not obvious.  Buenos Aires delivers on all expectations- every time.  I've been eating here since it opened...More"
4.5 of 5 bubbles,"Two couples  -  Valerio, a restaurateur from Milan, Italy, his wife Michele from Venezuela and Gina and Francesca, also restaurateurs from Cisternino, a small village in the heart of Puglia, Italy - came together in a partnership and opened two restaurants in Queens. This one...More"
4.5 of 5 bubbles,"Great pasta, friendly staff and the meatballs are top notch! Ate at the bar and was served fast - Highly recommend!"
3.5 of 5 bubbles,"The most warn and welcoming environment, Excellent customer service, The  food was delicious and authentic.If you enjoy great Italian food with wonderful hospitality then this is the place for you."
4.5 of 5 bubbles,"I love it!  When you walk in you are greeted by 10 metal pigs, paying homage to Spanish cuisineâ€™s affinity for this special animal. The food is great, featuring strong takes and riffs on classics like patatas bravo and, of course, chorizo and other incarnations...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"This place has great food. We got our food quickly, staff was friendly, atmosphere casual, and we did not feel rushed at all. Plus the water tastes good."
4 of 5 bubbles,Good ramens (but soup was a bit too oily/fatty) with delicious gyozas. Atmosphere of the restaurant is ok.
4.5 of 5 bubbles,"Casa Mia was my first job back in highschool nearly 20 years ago. This place is just as fantastic now is it was back in 2001. The pizza, the pasta, the service, the bread rolls that come with your meal! 

We don't go as often...More"
4 of 5 bubbles,"Both meals were delicious, a creative approach to traditional dishes. Service efficient, environment quietly relaxed, staff friendly. Third time visiting, food consistently good."
4.5 of 5 bubbles,"Wow!!! This was our first time to Cappyâ€™s. My husband & I had a crab cake to start which was good. The bread is also yummy. I had the salmon with lobster mashed potatoes-SO, SO good!!! My husband had the daily special which was a...More"
4.5 of 5 bubbles,"Great place, vivid, good food, very friendly staff and located down town where you can easily walk around (using the river walk or not)"
4.5 of 5 bubbles,This is a family operated gem. They make the best pizza in the entire region. You would probably have to go to White Plains or Albany to find pizza that could even come close. You are not doing yourself any favors if you get your...More
5 of 5 bubbles,
4 of 5 bubbles,
4 of 5 bubbles,We had a birthday celebration there. The staff was friendly and courteous and the food and margaritas were AMAZING.
4.5 of 5 bubbles,This was our first visit to Truluck's on McKinney and it was all positive. We showed up a bit early - without reservations at 11:20 and were shown to a second floor booth with super sight lines of our dining room and the floor to...More
4.5 of 5 bubbles,"Powdered eggs, rubbery Swedish pancakes, but tasty bacon. Unfortunately, skimpy on the bacon. Honestly, just get a big plate of the bacon and you'll be much happier. Like the store, but not a fan of the breakfast."
4 of 5 bubbles,"On a positive note, Via Veneto was able to get us in the day of with an early reservation. I really appreciated that after calling other local restaurants and them being â€œfully bookedâ€ and unwilling to accommodate a party of 2 for an early dinner....More"
4 of 5 bubbles,"In February, they offered Cabrito weekly. The restaurant was very busy and the delicious grilled/roasted goat was why. I also ate a couple other meals here since I stayed at this hotel. The convenience and service was very good. Would stay again."
4.5 of 5 bubbles,
4.5 of 5 bubbles,Had dinner last evening which was very good. We ordered the gemelli w/ mushrooms-excellent. THe autumn squash soup was also excellent. Our waiter was very attentive. Will be back!
4 of 5 bubbles,We met for our grandsons birthday dinner. Everyone enjoyed their food and we had excellent service. There were 4 orders of different types of curry. I had the basil chicken medium spicy which is equal to very  spicy at many Thai restaurants. It was an...More
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Des what a legend!!!!

What this lady doesnâ€™t know about cocktails is not work knowing. We sat at the bar she made us feel very comfortable throughout our dinner/drinks and made sure we was OK. The duck was amazing aswell best we have ever eating...More"
4.5 of 5 bubbles,"Visited twice. Once in summer on the patio; the other in winter at a window table. The views and ambience here are excellent. The food is consistently good although we are not â€œfoodiesâ€ so canâ€™t attest to the culinary quality. But if we like it,...More"
4.5 of 5 bubbles,"They have a large menu.  I love the lamb and the large selection of desserts. When I have gone in the evening, they have not been as crowded."
4.5 of 5 bubbles,"This meal hits the spot on a cold day! Delicious ðŸ˜‹ 
Call ahead and just pick up and enjoy this quick bite!"
4.5 of 5 bubbles,"Next to that great hamburger, Reubens are a passion of mine, and the Reuben here was lovely.  Tender pastrami (per the menu, tho I don't know how it differs from corned beef), unobtrusive bread, great combination of sauerkraut and sauces.  Really pleasant.  And the soup...More"
3.5 of 5 bubbles,Service at front desk exceptional. Wait service average and food was good but pub style. We went for lunch so pub style was fine. At night our group decided on another place since we were from Boston College which had just beaten Syracuse and Tullyâ€™s...More
4 of 5 bubbles,"I think I am addicted to this place.  If you like seafood, you will love this restaurant.  The desserts are also excellent."
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Was hoping this taqueria would be a little authentic and have a large selection of tacos, but it was really just another Americanized Mexican restaurant. The tacos were also extremely greasy and came with grilled? onions. Everyone knows tacos come with cilantro, raw onion, lime,...More"
4.5 of 5 bubbles,"Iâ€™ve been hearing about Patriziaâ€™s in Williamsburg, Brooklyn for years so when a friend suggested we meet at the S.I. location (they live there) we jumped! 

Where to start? The outside was filled with clusters of rude guests... obviously waiting for a table. In the...More"
4 of 5 bubbles,We visited Yianni's in a couple of locations in Ocean City. The one on Asbury Ave is well known but the Yianni's in the Ocean City Cultural Center and Free Public Library is especially important due to its key location. The food is good! Mediterranean...More
4.5 of 5 bubbles,"Great place, nice people.  I had an egg white, American cheese and potato egg sandwich which was delicious but I thought it was a bit pricey $9.  My boyfriend had an omelet and potatoes which was awesome.  Will visit again when in the city.  Quick...More"
4.5 of 5 bubbles,Tuesday at 7:30 and not a soul Iâ€™m the joint. Hostess was also bartender AND waitress!! Food arrives cold. We were the only TWO people in the restaurant besides the2 cooks. HOW could the masked potatoâ€™s be cold?
4.5 of 5 bubbles,Our hotel had called and made our reservation for us.  We were celebrating our anniversary and we were given a table out of traffic and were surprised with rose petals on table.  Our server Aaron was excellent.  He did not rush us and gave us...More
4.5 of 5 bubbles,"We were in Tacoma Feb 2020 for a gymnastics meet.  Our daughter is celiac and our hotel did not offer anything for breakfast that she could eat.  We did our research and came across SAVOR (sadly they are closing their doors March 14, 2020 to...More"
4.5 of 5 bubbles,Most authentic Italian food Iâ€™ve found since we moved from Italy back to the States. Just wish there was better parking around them.
4 of 5 bubbles,"what a great place to eat. 

The staff was wonderful.

The menu is small but full of flavor, asked for recommendations and they were on point.

started with fried pickles and they were good. 

had the steak and blue cheese fries, steak cooked to point....More"
4.5 of 5 bubbles,"We had the most delicious brunch, excellent service, and really good value at our recent visit to Zizikiâ€™s on Travis! Our group included Greek lovers and those that were a little less enthused and there was excellent variety and ample choices for everyone. The crowd...More"
4.5 of 5 bubbles,"I recently visited Crafted. We ordered the chefâ€™s table. We had an incredible eight course meal. I will definitely return for more. Every course was better than the previous. Oysters, sashimi, beets, pasta, pork belly. This place is incredible. The staff is knowledgeable. Local farm...More"
4.5 of 5 bubbles,Ordered the fried shrimp with FF and coleslaw and a drink.  Delivered hot and great food.  Also had a side salad.
4 of 5 bubbles,
4.5 of 5 bubbles,Wonderful Sunday Brunch. The Food was delicious and great service. Great atmosphere with French flair.
4.5 of 5 bubbles,
4.5 of 5 bubbles,"What a great place! My son and his girlfriend brought me for my birthday dinner and we absolutely loved it! We made it in time for their fantastic Happy Hour. We shared truffle fries, scallops, mushroom spinach flatbread, and order of spicy and yummy Brussel...More"
4 of 5 bubbles,"The pizza slice was good, and the toppings were great (sausage and pepperoni), and the base was quite crispy and a hit like eating toast (but really thin toast). Bleecker Street Pizza came highly recommended and I can see why. It was good  and it...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"This is our staple Korean restaurant, we always order the tofu soup and the staff is friendly. The food is about average for someone who grew up eating Korean food and the portion sizes are ok but overall we keep coming back"
4.5 of 5 bubbles,Great wine choices; attended a wedding shower; wonderful service; and the most important part -- great food!
4.5 of 5 bubbles,"I love this place.  Great food, great environment, good location, BOCCE ball court too!  Cosimo's never disappointed me and my go to was the Fig Prosciutto flatbread."
4 of 5 bubbles,"Varied menu, not just a pizza joint.
Huge portions, very tasty. Gets crowded in season, not very big inside. Great for takeout. Another great family run OC restaurant."
4.5 of 5 bubbles,"We love this place! We go often. I might look at the specials, but don't need a menu. I get the same thing every time. My son and I both love the steak chimichanga. He likes the El Meson sauce but I love their salsa...More"
4 of 5 bubbles,"There were 5 people in our party so we ordered a botana for 4. It was a beef and chicken botana. Boy, was it a lot! We even had food left over. Someone got to take it home and enjoy more of it for a...More"
4 of 5 bubbles,"Special family occasion - places us in a cramped corner, where we had to pass plates down the table since server couldnâ€™t reach all guests.  Porcini ribeye was burned.  Out if 7 people, only one appetizer was placed properly, and only one salad.  The server...More"
4.5 of 5 bubbles,"Been wanting to hit Hiram's since we saw it on No Reservations quite a few years ago.  Kept it very simple - chili dogs for both of us with an order of fries.  Great dogs, crispy, hot fries (with toothpicks).  Fantastic.  Super nice counter guys....More"
4.5 of 5 bubbles,
4 of 5 bubbles,"We have always enjoyed the food and service here, and we get takeout way than than eating in.  Sadly the last 2 times we called for takeout were terribly disappointing. After the first messed up order I was extremely clear on what we wanted and...More"
4.5 of 5 bubbles,"We have eaten at this restaurant for many years. Recently it has begun to fail the test as a great place to dine. Last night will be our last dinner at the Amalfi. 
We ordered fried calamari as an appetizer, it was under cooked AWFUL....More"
4 of 5 bubbles,
4 of 5 bubbles,"Taylor's attitude and customer service skills could use some TLC. My family and I eat here very often , never had any complaints by far my favorite restaurant in town. Except our last  visit totally bombed , they ran out of potatoes, my moms steak...More"
4 of 5 bubbles,
4.5 of 5 bubbles,
4 of 5 bubbles,"We went to Cafe 43 for our 44th anniversary this year because it was so great last year for 43. Whenever we go, the food is always excellent and reasonably priced. The staff are friendly and efficient. Chocolate Tres Leches Cake is new on the...More"
4.5 of 5 bubbles,My kind of wine bar! There are some elements that make me biased to this establishment though. The subtle lighting and bar have a gorgeous red hew. Red is my favorite color. They also serve many WA wines. I am a fan of supporting wineries...More
4 of 5 bubbles,I enjoyed their surf and turf special and a wedge salad. That will be my new go-to. The staff is always friendly. I have eaten at three different Salt Lake locations and all good.  Recommended.
4 of 5 bubbles,"Sol is my go-to restaurant in Everett. They are a Pan-Latin/Caribbean place, and make the best Mojitos anywhere outside of Cuban restaurants in Florida. The service can be a bit slow, but not because the servers are lagging--the kitchen is painstakingly careful to make each...More"
4 of 5 bubbles,
4 of 5 bubbles,I was so excited to have dinner at this location. The Service was terrible. The food was ok?  But I do not think i would visit this place again
4.5 of 5 bubbles,"The food at Perryâ€™s is definitely delicious, but come prepared to pay for it $$$. We ended up paying nearly 100$ per person by the time the meal was over."
4 of 5 bubbles,"Best tasting sauce and their veal parm is on the money. Might be a bit of a waiting line, but well worht the wait."
4.5 of 5 bubbles,Despite the long wait on a recent Sunday morning the breakfast was worth it. Our server was very friendly and offered suggestions. My husband got the Bagel Platter which had a nice amount of lox. I had the chicken waffles which were so good. I...More
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Nice to see a restaurant that earns its reviews! Great meal, service and fun atmosphere.  Tiny restaurant- but they expanded so there is another space next to the main space, which was great."
4.5 of 5 bubbles,"Good beer. 
Good meat: no too many ingredients and sauces. 
My wife took fish and chips ... the meat is better. 
Good service: kind, clear and fast."
4 of 5 bubbles,"A friend insisted I at least get a slice of pizza here and it was wonderful considering I am usually not a pizza person. Great staff, boardwalk location open year round."
4 of 5 bubbles,We came to Carmine's to celebrate a very important birthday. We were a party of 10 and each ordered an amazing dish. The ossobucco made my Dad very happy and my Mom was thrilled with her veal. The service was superb; I don't think they...More
4.5 of 5 bubbles,Heard good things about the restaurant and when the grandsons come to town they like to eat Asian food. So we decided to visit Huynh. It was worth it. The food was seasoned to not need any extra salt or pepper. The service was prompt...More
4.5 of 5 bubbles,
4 of 5 bubbles,"Have only been for brunch and lunch, but enjoyed both. Also good pastries and a good place to get cakes! Nice patio to enjoy a sunny day"
4 of 5 bubbles,"Never had any problems.  Love the chicken nacho dish, it's for 2 people.  The selection of liquor is over the top."
4 of 5 bubbles,Not a great selection of food I thought though the waitress we had was very good.  No omelette station which surprised me.
4.5 of 5 bubbles,"My sisters and their husbands and I went here for my Momâ€™s 88th birthday. Wonderful restaurant. The food and service were spectacular. The portions were surprisingly large. But of course you pay for what you get. My brother-in-law picked up the tab, which had to...More"
4.5 of 5 bubbles,"We have been to this restaurant twice so far with another couple of friends, and both times we were very pleased with the service, menu, and quality of the food.
The servers were fun and entertaining, the food was fresh and satisfying, and the menu...More"
4.5 of 5 bubbles,"We were able to walk there from our hotel in Newport which wasn't bad, and the place looks like a little hole in the wall. But the food we had for lunch was REALLY good. My wife had a chicken salad sandwich that gave her...More"
4 of 5 bubbles,we stayed at the fairmont so used this one night just at the bar. Brent the bartender was personable and made his own special drinks you don't get elsewhere (from reading speakeasy recipes). We had dinner a second night and it was pretty good fair...More
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Located in a strip mall, Izumi doesâ€™nt really stand out from outside.  Inside, it is clean and functional - and frequented by Japanese folks - always a good sign.  We were ushered to our table by a lovely lady in a kimono.  Food was good,...More"
4.5 of 5 bubbles,Good food ..good menu good service..what else is there to say..ahh you can order take away...catering and much more
4 of 5 bubbles,
4.5 of 5 bubbles,"Great restaurant, food was excellent, peaceful surroundings.  Cute little playroom for kids. Ice tea is excellent"
4 of 5 bubbles,
4.5 of 5 bubbles,In fact the menu is pretty broad. I saw several varieties of macâ€™n cheese being enjoyed. The view of the High Falls on the Genesee River is terrific. Head out to the long balcony for the best views.
4.5 of 5 bubbles,"Beautiful authentic French bistrot. I had a wonderful experience, the service and food were excellent. I will definitely come back. Thank you !"
4.5 of 5 bubbles,"Cute byob that doesn't know how to use a wine key or how to pour wine. Odd. Food is basic Italian but with a higher price point.  If I am paying 42 for an entree then open my wine properly, use a crumber between courses....More"
5 of 5 bubbles,Enjoyed a great dinnEnjoyed a great dinner at this restaurant. I had a steak and it was really good. The service is awesome too! er at this restaurant. I had a steak and my friend had a sa
4.5 of 5 bubbles,"Cocotte was a wonderful find! This small, cozy restaurant provides a very romantic setting and really wonderful food and service. You can eat at the family style seating or at a more private banquette seating. Service was attentive and friendly. The food was simply fantastic,...More"
4.5 of 5 bubbles,"On Saturday January 18th, 2020, my wife and I joined some people from our Ottawa tour group at Pancetta Regional Kitchen & Wine Bar which is located within the Teaneck Marriott. 

From the varied menu, we both ordered the classic Caesar Salad with grilled Salmon...More"
4.5 of 5 bubbles,"Visiting with mother and friend, who suggested Sofiaâ€™s. 

We were there for lunch and couldâ€™ve stayed longer than the 2 hours we did!  Friend had Spanaki (spinach) salad which looked simply good. She enjoyed it. 

I ordered the shrimp saganaki which was delicious and served...More"
4.5 of 5 bubbles,The burgers are great here.  There are a lot of choices when it comes to beer.  Every beer that I've had here was cold and tasty.  There is a nice selection of menu items at a reasonble price.
4 of 5 bubbles,"I really enjoyed the atmosphere, and the food was delicious.  My first time here. I really love Indian food, and they did a great job on the dishes that we had. We tried the Chicken Korma, the Lamb Rogan Josh and the Palak Paneer. All...More"
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Jaspers is in a unique neighborhood and we hesitated a minute before we decided to be adventurous. We are so glad we stopped. The people were super friendly and the food was delicious and plentiful. We split a three meat plate with brisket, sausage, and...More"
5 of 5 bubbles,"Very good and expensive food. I guess you can't have everything and you get what you pay for is true:) If you can't find parking, means there's a long wait. Tables very close to each other (no privacy)"
4.5 of 5 bubbles,"my group had a variety of dishes.  We started with the soup....it was amazing.  I had the mushroom and my friends had the squash soup.  I don't even like squash, but when I tasted it, it was delish!  the rest of our dishes were equally...More"
4.5 of 5 bubbles,My husband and I had not been to Parkside in a number of years. The food never disappoints. Excellent imported Parmesan cheese with bruschetta. I loved the meat bread. Grilled swordfish was great and so was the calamari/scumgilli fra diabolically. We were lucky enough to...More
4.5 of 5 bubbles,"I love this place and visit often. it's not in the neighborhood I live in, but go out of my way because I love the place. There's something for everyone here. They have cocktails, a good selection of draft craft beer and also cheap beers....More"
4.5 of 5 bubbles,
4 of 5 bubbles,"My husband ordered the rib eye, which was great....I ordered the mimi's stuffed meatball with spaghetti.  My meal was not great at all...it was lacking spice, salt and pepper.  It was so bland....the sauce was mostly chopped tomato...I was so surprised that and Italian restaurant...More"
4 of 5 bubbles,Locals and guests are welcome in this authentic German bar and restaurant.  I had a delicious German beer on tap and German sausage and saurkraut.  The black forest cake for dessert was delicious!
4.5 of 5 bubbles,"Within walking distance of the Best Western.  Nice Thai ambiance.  Attentive service.  Had a calamari/shrimp fried rice house speciality.  Interesting presentation, with a non-traditional crisp flour tortilla-type bowl youâ€™d expect in a Mexican restaurant, and a nicely cut wedge of fresh pineapple.  Tasty and spicey....More"
4 of 5 bubbles,DiBellaâ€™s is the go to place for a cold or hot sub in Rochester. Great rolls and many options. Love the old fashion sub
4.5 of 5 bubbles,
4.5 of 5 bubbles,
4.5 of 5 bubbles,"Prices in season do not reflect what you get - although the staff were very friendly and welcoming, it wasnâ€™t worth the price.More"
4.5 of 5 bubbles,
4 of 5 bubbles,
4.5 of 5 bubbles,"My husband and I love this restaurant. We have been going here for a while now. The food is amazing, the staff is friendly and knew who we were by our second trip, and the atmosphere is romantic. My favorite dish is the butter chicken...More"
